Task,AUROC,Train_Samples,Test_Samples,Train_True_Pct,Test_True_Pct,Train_Vocab_Size,Test_Vocab_Size,Test_OOV_Count,Test_OOV_Pct,Top_Predictive_True,Top_Predictive_False
F0,0.6271472191521645,999,464,53.653653653653656,54.525862068965516,352,217,103,22.198275862068968,"otherwise (+1.81), 5 (+1.59), capital (+1.38)","asia (-1.58), drc (-1.49), nigeria (-1.37)"
F1,0.6006556016597511,1100,491,49.90909090909091,49.08350305498982,306,183,67,13.64562118126273,"geographically (+1.48), countries (+1.40), all (+1.40)","true (-1.28), capital (-1.27), state (-1.17)"
F2,0.5634199375557539,1033,464,46.75701839303001,49.137931034482754,267,153,52,11.206896551724139,"country (+1.29), location (+1.29), conjunction (+0.98)","asia (-1.28), all (-1.28), province (-1.09)"
F3,0.5586304104216279,1008,478,49.2063492063492,49.37238493723849,239,197,60,12.552301255230125,"listed (+1.20), jamaica (+1.07), provided (+1.07)","1 (-1.30), do (-1.18), hungary (-1.05)"
F4,0.5320190936705722,1135,568,51.541850220264315,50.176056338028175,274,203,53,9.330985915492958,"outside (+1.51), it (+1.25), isn't (+1.25)","is (-2.02), one (-2.02), chile (-1.22)"
F5,0.5577086262142685,1216,562,50.57565789473685,49.644128113879006,341,216,37,6.583629893238434,"matching (+1.45), exactly (+1.16), is (+1.02)","zealand (-1.07), denmark (-0.91), here (-0.91)"
A1,0.46678004535147394,675,297,48.2962962962963,49.494949494949495,362,212,93,31.313131313131315,"out (+1.84), addition (+1.31), answer (+1.07)","53 (-1.02), 87 (-1.02), problem (-1.02)"
A2,0.5455147058823528,673,286,47.99405646359584,47.55244755244755,345,193,88,30.76923076923077,"side (+1.54), correct (+1.45), equation (+1.35)","4 (-1.33), balanced (-0.84), 11 (-0.84)"
A3,0.49113333333333337,692,300,49.421965317919074,50.0,354,201,109,36.333333333333336,"other (+1.64), out (+1.42), 39 (+1.21)","47 (-1.02), 290 (-0.87), instead (-0.87)"
