Task,AUROC,Train_Samples,Test_Samples,Train_True_Pct,Test_True_Pct,Train_Vocab_Size,Test_Vocab_Size,Test_OOV_Count,Test_OOV_Pct,Top_Predictive_True,Top_Predictive_False
F0,0.6331603694059906,999,464,53.653653653653656,54.525862068965516,358,220,104,22.413793103448278,"otherwise (+1.81), 5 (+1.60), capital (+1.38)","Asia (-1.58), DRC (-1.49), Nigeria (-1.36)"
F1,0.5906307053941909,1100,491,49.90909090909091,49.08350305498982,314,185,67,13.64562118126273,"geographically (+1.49), countries (+1.40), all (+1.40)","true (-1.30), capital (-1.27), State (-1.03)"
F2,0.5625743383883438,1033,464,46.75701839303001,49.137931034482754,268,155,57,12.284482758620689,"country (+1.29), location (+1.29), conjunction (+0.98)","Asia (-1.28), all (-1.28), province (-1.09)"
F3,0.5747040902087128,1008,478,49.2063492063492,49.37238493723849,241,198,62,12.97071129707113,"listed (+1.23), provided (+1.08), Jamaica (+1.08)","1 (-1.33), do (-1.21), UAE (-1.06)"
F4,0.5325026346785692,1135,568,51.541850220264315,50.176056338028175,274,203,53,9.330985915492958,"outside (+1.51), it (+1.25), isn't (+1.25)","is (-2.02), one (-2.02), Rwanda (-1.22)"
F5,0.5548083133857669,1216,562,50.57565789473685,49.644128113879006,343,216,38,6.761565836298933,"matching (+1.44), exactly (+1.16), is (+1.02)","Zealand (-1.08), Namibia (-0.91), here (-0.91)"
A1,0.46678004535147394,675,297,48.2962962962963,49.494949494949495,362,212,93,31.313131313131315,"out (+1.84), addition (+1.31), answer (+1.07)","53 (-1.02), 87 (-1.02), problem (-1.02)"
A2,0.5455147058823528,673,286,47.99405646359584,47.55244755244755,345,193,88,30.76923076923077,"side (+1.54), correct (+1.45), equation (+1.35)","4 (-1.33), balanced (-0.84), 11 (-0.84)"
A3,0.49113333333333337,692,300,49.421965317919074,50.0,354,201,109,36.333333333333336,"other (+1.64), out (+1.42), 39 (+1.21)","47 (-1.02), 290 (-0.87), instead (-0.87)"
