layer,probe_source,tG_component,tP_component,residual,tG_tP_cosine,tP_over_tG_ratio
22,F1,0.4409774120959027,-0.5983913470650609,0.6557465569905144,-0.03308967309691587,1.3569659820434687
23,F0,0.3784475969652514,0.47539703620588514,0.801990613261164,-0.03449979566204882,1.2561766543553436
23,F1,0.42963664480091046,-0.5894883646735464,0.671148818022208,-0.03449979566204882,1.3720625831284425
24,F0,0.36331606569415253,0.4600587197545576,0.8170652983552283,-0.033647928140103506,1.2662768404537852
24,F1,0.4208009300968674,-0.5678124648581065,0.6960144807287557,-0.033647928140103506,1.3493612400667652
25,F0,0.3476654051645639,0.45550529651452526,0.8258686588207678,-0.032884254207516235,1.3101829798038327
25,F1,0.4127077023490417,-0.5574853689227299,0.7097537491928023,-0.032884254207516235,1.350799526513062
26,F0,0.33827782264679873,0.44772847116434095,0.8345677078827579,-0.03762117886528206,1.3235525393294785
26,F1,0.39471206014990645,-0.5507379824874735,0.724246928185107,-0.03762117886528206,1.39529048663199
27,F0,0.3255676522691674,0.442021469526284,0.8423876423810593,-0.03819875091254712,1.3576946801811847
27,F1,0.38100830369726335,-0.5438518734730797,0.7370395037346812,-0.03819875091254712,1.4274016292930434
28,F0,0.3143059899364881,0.4339311032748763,0.8500738415607378,-0.03559719200301186,1.3806008067526179
28,F1,0.3778582983945651,-0.5350625025244355,0.7460143551417889,-0.03559719200301186,1.4160400996785825
29,F0,0.30793352607187074,0.42798679583733057,0.856788933493049,-0.045841377118809735,1.3898674863225187
29,F1,0.36114302464572784,-0.5268548039904345,0.7579942588054182,-0.045841377118809735,1.4588536065615745
30,F0,0.299269543968565,0.41489158608354104,0.8652840551573144,-0.04193559271592552,1.3863475066000521
30,F1,0.3542397727731726,-0.5180133138492649,0.768625961932304,-0.04193559271592552,1.4623239784525768
31,F0,0.28760369928839363,0.41254840476436533,0.8735123502120871,-0.06715498578608438,1.4344335826822916
31,F1,0.33579964566773246,-0.495256103431162,0.7871615694070493,-0.06715498578608438,1.4748559440700957
32,F0,0.21529261552010173,0.3169421630453136,0.9294052884225995,-0.07765346427007755,1.472146001283768
32,F1,0.25423813578295923,-0.38900135128439806,0.8767447501645934,-0.07765346427007755,1.5300668803477813
